MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset
527686	347284	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527449	347130	LC4_016	Beam Observation - 10-90 MHz				LofarStorageManager	0,00247547904	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	23	0	258	0,0006436245504	11,8	41,3	0,8456666667
527761	347352	LC4_016	Beam Observation - 10-90 MHz				LofarStorageManager	0,00227997696	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	22	0	258	0,0005927940096	11,8	41,3	0,8456666667
528243	347534	LC4_016	Beam Observation - 10-90 MHz				LofarStorageManager	0,00227997696	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	22	0	258	0,0005927940096	11,8	41,3	0,8456666667
527775	347608	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,08563728384	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	46	9	369	0,0222656938	17,6	61,6	6,314
527778	347612	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	1,161975214	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	46	9	369	0,3021135557	239,8	839,3	86,02825
527781	347616	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,08563728384	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	46	9	369	0,0222656938	17,6	61,6	6,314
527784	347620	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	1,161975214	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	46	9	369	0,3021135557	239,8	839,3	86,02825
527787	347624	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,08540520448	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	46	9	369	0,02220535316	17,6	61,6	6,314
527790	347628	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	1,161975214	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	46	9	369	0,3021135557	239,8	839,3	86,02825
